c2,c32,c31,e1,e2,e32,e31,mu21,mu32,mu31,z,alpha,beta,gamma
0.7734759444869329,0.7734759444869329,0.7734759444869329,0.05,0.24130523952930882,0.24130523952930882,0.24130523952930882,0.02282895819938794,0.02282895819938794,0.02282895819938794,4.0,0.017178379593040256,0.9828216204069598,0.0
0.9973139049634654,0.9973139049634654,0.9973139049634654,0.05,0.5720593951512446,0.5720593951512446,0.5720593951512446,0.1265176354869062,0.1265176354869062,0.1265176354869062,4.0,0.031125078261149956,0.96887492173885,0.0
0.7119102963493432,0.7119102963493432,0.7119102963493432,0.05,0.38610060416344194,0.38610060416344194,0.38610060416344194,0.3053561579740127,0.3053561579740127,0.3053561579740127,4.0,0.18178117583992873,0.8182188241600713,0.0
0.5783162454702738,0.5783162454702738,0.5783162454702738,0.05,0.25820040305823816,0.25820040305823816,0.25820040305823816,0.2247004059929584,0.2247004059929584,0.2247004059929584,4.0,0.3204657314791694,0.6795342685208305,0.0
0.9263594294605599,0.9263594294605599,0.9263594294605599,0.05,0.2085984057309543,0.2085984057309543,0.2085984057309543,0.11094820753487977,0.11094820753487977,0.11094820753487977,4.0,0.4182251287949201,0.5817748712050799,0.0
0.392444456702921,0.392444456702921,0.392444456702921,0.05,0.30563056010741907,0.30563056010741907,0.30563056010741907,0.01820648420096012,0.01820648420096012,0.01820648420096012,4.0,0.7204794358352375,0.27952056416476245,0.0
0.63291595770245,0.63291595770245,0.63291595770245,0.05,0.31211903929342294,0.31211903929342294,0.31211903929342294,0.016685715816376245,0.016685715816376245,0.016685715816376245,4.0,0.19035591896294177,0.8096440810370582,0.0
0.34164342281884197,0.34164342281884197,0.34164342281884197,0.05,0.23851810671596013,0.23851810671596013,0.23851810671596013,0.07771320857417989,0.07771320857417989,0.07771320857417989,4.0,0.4610981549514284,0.5389018450485716,0.0
0.8595216001258532,0.8595216001258532,0.8595216001258532,0.05,0.5127535497259007,0.5127535497259007,0.5127535497259007,0.21831378926964418,0.21831378926964418,0.21831378926964418,4.0,0.48419585781971386,0.5158041421802861,0.0
0.9267887820018436,0.9267887820018436,0.9267887820018436,0.05,0.3929464324177756,0.3929464324177756,0.3929464324177756,0.13953190951587738,0.13953190951587738,0.13953190951587738,4.0,0.6079734900220661,0.39202650997793387,0.0
0.9458066828754819,0.9458066828754819,0.9458066828754819,0.05,0.2617697960410004,0.2617697960410004,0.2617697960410004,0.07697604636025178,0.07697604636025178,0.07697604636025178,4.0,0.06256051365517581,0.9374394863448242,0.0
0.8023753586337383,0.8023753586337383,0.8023753586337383,0.05,0.1716706398613794,0.1716706398613794,0.1716706398613794,0.06669752433111287,0.06669752433111287,0.06669752433111287,4.0,0.7707513009496806,0.22924869905031942,0.0
0.978911677474363,0.978911677474363,0.978911677474363,0.05,0.09992156532091637,0.09992156532091637,0.09992156532091637,0.015597274482523377,0.015597274482523377,0.015597274482523377,4.0,0.8036360028494249,0.19636399715057506,0.0
0.6607850158811459,0.6607850158811459,0.6607850158811459,0.05,0.39694327974254473,0.39694327974254473,0.39694327974254473,0.13977007098829275,0.13977007098829275,0.13977007098829275,4.0,0.9604502318565123,0.03954976814348765,0.0
0.7478130234210643,0.7478130234210643,0.7478130234210643,0.05,0.39444379536604596,0.39444379536604596,0.39444379536604596,0.140009536785554,0.140009536785554,0.140009536785554,4.0,0.6616491181189834,0.3383508818810166,0.0
0.8551967602345811,0.8551967602345811,0.8551967602345811,0.05,0.6056735193332516,0.6056735193332516,0.6056735193332516,0.17098756296936932,0.17098756296936932,0.17098756296936932,4.0,0.1007457496472924,0.8992542503527076,0.0
0.9692891623752248,0.9692891623752248,0.9692891623752248,0.05,0.5856142350357363,0.5856142350357363,0.5856142350357363,0.1613881772626762,0.1613881772626762,0.1613881772626762,4.0,0.880557937752476,0.11944206224752396,0.0
0.6652443312375348,0.6652443312375348,0.6652443312375348,0.05,0.32429142068787475,0.32429142068787475,0.32429142068787475,0.17562644016188497,0.17562644016188497,0.17562644016188497,4.0,0.3453760790680888,0.6546239209319111,0.0
0.961633966417719,0.961633966417719,0.961633966417719,0.05,0.4904679229556447,0.4904679229556447,0.4904679229556447,0.31895038939182563,0.31895038939182563,0.31895038939182563,4.0,0.9592102509855033,0.04078974901449672,0.0
0.8725670552181368,0.8725670552181368,0.8725670552181368,0.05,0.5030498465261087,0.5030498465261087,0.5030498465261087,0.2595478200716538,0.2595478200716538,0.2595478200716538,4.0,0.9983388949472342,0.0016611050527658433,0.0
0.9249002434788784,0.9249002434788784,0.9249002434788784,0.05,0.5558707741267159,0.5558707741267159,0.5558707741267159,0.1306655903404026,0.1306655903404026,0.1306655903404026,4.0,0.7101769785189096,0.2898230214810904,0.0
0.8092782157188227,0.8092782157188227,0.8092782157188227,0.05,0.3511727439731354,0.3511727439731354,0.3511727439731354,0.17332221256755295,0.17332221256755295,0.17332221256755295,4.0,0.36507101002124576,0.6349289899787542,0.0
0.9957298448712951,0.9957298448712951,0.9957298448712951,0.05,0.548541822755332,0.548541822755332,0.548541822755332,0.39701188370160495,0.39701188370160495,0.39701188370160495,4.0,0.9846549637002598,0.015345036299740156,0.0
0.9028426491341538,0.9028426491341538,0.9028426491341538,0.05,0.6444762303873852,0.6444762303873852,0.6444762303873852,0.08712319278931606,0.08712319278931606,0.08712319278931606,4.0,0.8790130026374182,0.12098699736258178,0.0
0.9693708732072587,0.9693708732072587,0.9693708732072587,0.05,0.4821183075278147,0.4821183075278147,0.4821183075278147,0.4019526475019239,0.4019526475019239,0.4019526475019239,4.0,0.897940937087259,0.10205906291274103,0.0
0.9054350319852529,0.9054350319852529,0.9054350319852529,0.05,0.45498358574082826,0.45498358574082826,0.45498358574082826,0.010244345426387356,0.010244345426387356,0.010244345426387356,4.0,0.912608881199365,0.08739111880063499,0.0
0.5839049116891479,0.5839049116891479,0.5839049116891479,0.05,0.16957208185023148,0.16957208185023148,0.16957208185023148,0.0462930179118809,0.0462930179118809,0.0462930179118809,4.0,0.38471819119666206,0.6152818088033379,0.0
0.7793476090058609,0.7793476090058609,0.7793476090058609,0.05,0.25453357489789374,0.25453357489789374,0.25453357489789374,0.02609800527608137,0.02609800527608137,0.02609800527608137,4.0,0.7825534958890744,0.2174465041109256,0.0
0.9139045367121611,0.9139045367121611,0.9139045367121611,0.05,0.5323532237214648,0.5323532237214648,0.5323532237214648,0.37516468262517383,0.37516468262517383,0.37516468262517383,4.0,0.5171711347060285,0.4828288652939715,0.0
0.8865445248027815,0.8865445248027815,0.8865445248027815,0.05,0.7944699925714083,0.7944699925714083,0.7944699925714083,0.08394873761609477,0.08394873761609477,0.08394873761609477,4.0,0.8840352653401973,0.11596473465980273,0.0
0.9751864984557672,0.9751864984557672,0.9751864984557672,0.05,0.6626401213987765,0.6626401213987765,0.6626401213987765,0.01591643456666595,0.01591643456666595,0.01591643456666595,4.0,0.34077707075519176,0.6592229292448082,0.0
0.6778469952002989,0.6778469952002989,0.6778469952002989,0.05,0.25576988171399895,0.25576988171399895,0.25576988171399895,0.14049433735800598,0.14049433735800598,0.14049433735800598,4.0,0.7455615513126315,0.25443844868736853,0.0
0.7057580590367892,0.7057580590367892,0.7057580590367892,0.05,0.5546571832373248,0.5546571832373248,0.5546571832373248,0.11668405950426655,0.11668405950426655,0.11668405950426655,4.0,0.558504052464189,0.441495947535811,0.0
0.9963631550237322,0.9963631550237322,0.9963631550237322,0.05,0.6049915001611097,0.6049915001611097,0.6049915001611097,0.0950630089323551,0.0950630089323551,0.0950630089323551,4.0,0.7934356249139338,0.20656437508606618,0.0
0.9881625676422885,0.9881625676422885,0.9881625676422885,0.05,0.7075054184211816,0.7075054184211816,0.7075054184211816,0.05360080996133665,0.05360080996133665,0.05360080996133665,4.0,0.4065655804863385,0.5934344195136615,0.0
0.7149794460052588,0.7149794460052588,0.7149794460052588,0.05,0.37515442044177566,0.37515442044177566,0.37515442044177566,0.006964527714661591,0.006964527714661591,0.006964527714661591,4.0,0.7413109354583097,0.2586890645416903,0.0
0.9055474835865585,0.9055474835865585,0.9055474835865585,0.05,0.5177797337903544,0.5177797337903544,0.5177797337903544,0.19547187311613634,0.19547187311613634,0.19547187311613634,4.0,0.8499706257032111,0.15002937429678886,0.0
